customer_id,first_name,last_name,phone_number,date_of_birth,risk_score,account_type,email
CUST1000,Yashvi,Pandit,8256225990,1974-08-27,0.62,Savings,yashvi.pandit@yahoo.com
CUST1001,Ranbir,Sarin,+910052859381,1991-06-25,0.44,Loan,ranbir.sarin@yahoo.com
CUST1002,Pooja,Sani,8161442096,1983-12-23,0.77,Current,pooja.sani@yahoo.com
CUST1003,Naksh,Jain,5247204621,1989-04-08,0.64,Current,naksh.jain@hotmail.com
CUST1004,Zarna,Palan,+918531002687,1984-06-03,0.01,Loan,zarna.palan@hotmail.com
CUST1005,Pooja,Goda,+914487258447,1986-12-27,0.32,Credit,pooja.goda@hotmail.com
CUST1006,Theodore,Tak,05507928640,1989-01-25,0.12,Current,theodore.tak@yahoo.com
CUST1007,Nathaniel,Magar,+914172874159,1991-12-09,0.19,Savings,nathaniel.magar@gmail.com
CUST1008,Warinder,Nagi,08319060886,1990-04-28,0.45,Savings,warinder.nagi@hotmail.com
CUST1009,Vedika,Sarin,3793819882,1997-01-05,0.45,Savings,vedika.sarin@yahoo.com
CUST1010,Priya,Minhas,07704622538,1989-07-05,0.9,Current,priya.minhas@outlook.com
CUST1011,Ishani,Chander,+919283216969,1963-12-28,0.29,Current,ishani.chander@gmail.com
CUST1012,Umang,Setty,5821935811,2006-12-23,0.04,Savings,umang.setty@yahoo.com
CUST1013,Madhavi,Bava,+913768797531,1963-12-09,1.0,Savings,madhavi.bava@gmail.com
CUST1014,Janaki,Mittal,1637386240,2001-07-21,0.28,Credit,janaki.mittal@gmail.com
CUST1015,Advay,Agrawal,09040594493,1992-09-24,0.87,Savings,advay.agrawal@gmail.com
CUST1016,Daniel,Bose,7792088333,1957-06-10,0.01,Savings,daniel.bose@hotmail.com
CUST1017,Parth,Golla,00490096181,1958-12-04,0.23,Loan,parth.golla@outlook.com
CUST1018,Sudiksha,Malhotra,04667879557,1998-01-06,0.67,Loan,sudiksha.malhotra@outlook.com
CUST1019,Balvan,Kannan,+912675783048,1965-04-04,0.86,Current,balvan.kannan@hotmail.com
CUST1020,Advaith,Patel,09415190873,1963-10-22,0.58,Loan,advaith.patel@gmail.com
CUST1021,Gabriel,Agate,1793710616,2000-06-30,0.73,Savings,gabriel.agate@yahoo.com
CUST1022,Bachittar,Sankar,0684121049,1958-07-07,0.76,Credit,bachittar.sankar@yahoo.com
CUST1023,Gunbir,Kohli,07191464031,1969-06-10,0.89,Loan,gunbir.kohli@hotmail.com
CUST1024,Vedika,Anne,02377182890,1968-09-25,0.1,Loan,vedika.anne@gmail.com
CUST1025,Nisha,Patla,+917171399099,1975-12-16,0.14,Credit,nisha.patla@hotmail.com
CUST1026,Irya,Mangat,6888559974,1998-11-01,0.63,Loan,irya.mangat@gmail.com
CUST1027,Januja,Gupta,2758706383,1963-02-08,0.93,Loan,januja.gupta@outlook.com
CUST1028,Jack,Kar,01652928054,1983-03-30,0.93,Savings,jack.kar@yahoo.com
CUST1029,Nakul,Edwin,+918373828392,1978-08-30,0.41,Savings,nakul.edwin@gmail.com
CUST1030,Irya,Cheema,0829570563,1991-06-12,0.48,Savings,irya.cheema@hotmail.com
CUST1031,Indira,Seth,+917166480029,1994-07-24,0.5,Loan,indira.seth@outlook.com
CUST1032,Shaurya,Chaudry,2662242256,1988-12-30,0.53,Loan,shaurya.chaudry@yahoo.com
CUST1033,Luke,Sachdeva,+918511803681,1996-11-07,0.35,Savings,luke.sachdeva@hotmail.com
CUST1034,Hemani,Barad,+910993662782,1995-11-15,0.71,Credit,hemani.barad@yahoo.com
CUST1035,Quincy,Balasubramanian,02624298138,2001-08-01,0.13,Loan,quincy.balasubramanian@outlook.com
CUST1036,Rajeshri,Bali,+918457632913,1960-01-28,0.79,Loan,rajeshri.bali@gmail.com
CUST1037,Isha,Salvi,5050605285,1985-04-27,0.45,Credit,isha.salvi@gmail.com
CUST1038,Ikbal,Dasgupta,+917674625085,1982-10-21,0.28,Credit,ikbal.dasgupta@hotmail.com
CUST1039,Gopal,Dube,01946773056,1955-06-11,0.87,Credit,gopal.dube@outlook.com
CUST1040,Yashasvi,Nadig,+917508106296,1986-11-20,0.78,Loan,yashasvi.nadig@outlook.com
CUST1041,Charles,Ray,+915187973662,1971-06-21,0.11,Credit,charles.ray@gmail.com
CUST1042,Gaurav,Kanda,+917072205729,1968-04-03,0.59,Credit,gaurav.kanda@gmail.com
CUST1043,Nidra,Toor,2848162381,1982-12-05,0.8,Current,nidra.toor@outlook.com
CUST1044,Anya,Swamy,5671097552,1988-02-03,0.68,Savings,anya.swamy@hotmail.com
CUST1045,Qasim,Sabharwal,08334510874,1997-12-25,0.72,Current,qasim.sabharwal@outlook.com
CUST1046,Oeshi,Tandon,+916765246954,1975-01-16,0.79,Loan,oeshi.tandon@yahoo.com
CUST1047,Leela,Biswas,4054768773,1985-03-27,0.97,Credit,leela.biswas@yahoo.com
CUST1048,Laban,Ravi,08660850880,2006-09-17,0.53,Loan,laban.ravi@yahoo.com
CUST1049,Dalaja,Bhargava,+918191533633,1968-05-13,0.28,Savings,dalaja.bhargava@gmail.com
CUST1050,Qabil,Mital,1548622581,1988-11-18,0.9,Current,qabil.mital@gmail.com
CUST1051,Akshay,Rege,1937235642,1984-02-24,0.45,Savings,akshay.rege@outlook.com
CUST1052,Triya,Dara,7167050575,1995-08-13,0.44,Credit,triya.dara@gmail.com
CUST1053,Jairaj,Narula,00636026131,2001-12-26,0.94,Savings,jairaj.narula@yahoo.com
CUST1054,Tanvi,Sabharwal,7492511619,1991-12-25,0.36,Credit,tanvi.sabharwal@outlook.com
CUST1055,Yagnesh,Sahni,8811534017,1983-07-23,0.63,Savings,yagnesh.sahni@outlook.com
CUST1056,Patrick,Char,04374576899,1976-12-06,0.34,Current,patrick.char@outlook.com
CUST1057,Gaurika,Bail,0564316638,1960-08-26,0.41,Savings,gaurika.bail@hotmail.com
CUST1058,Yochana,Toor,09058503976,1984-06-24,0.14,Credit,yochana.toor@hotmail.com
CUST1059,Odika,Singhal,+911390080709,1959-08-02,0.1,Savings,odika.singhal@hotmail.com
CUST1060,Suhani,Rout,+912032253448,1955-10-19,0.75,Savings,suhani.rout@gmail.com
CUST1061,Mekhala,Borah,03255080742,1981-04-15,1.0,Savings,mekhala.borah@yahoo.com
CUST1062,Patrick,Dayal,05191305461,1954-09-17,0.46,Credit,patrick.dayal@outlook.com
CUST1063,Unnati,Mitra,04504962349,1977-03-26,0.55,Savings,unnati.mitra@hotmail.com
CUST1064,Idika,Khanna,7275907643,1992-02-13,0.52,Loan,idika.khanna@yahoo.com
CUST1065,Aarnav,Shankar,+917818228583,1996-01-31,0.1,Loan,aarnav.shankar@hotmail.com
CUST1066,Mitali,Master,5809094106,1988-06-18,0.02,Credit,mitali.master@yahoo.com
CUST1067,Saanvi,Parmer,05651170264,1985-02-10,0.68,Loan,saanvi.parmer@yahoo.com
CUST1068,Andrew,Prabhakar,5596962298,1974-09-13,0.92,Credit,andrew.prabhakar@outlook.com
CUST1069,Siddharth,Roy,3914764668,1978-10-30,0.88,Savings,siddharth.roy@yahoo.com
CUST1070,David,Rai,00313532223,1969-11-10,0.53,Savings,david.rai@outlook.com
CUST1071,Laban,Korpal,04625423826,1955-06-26,0.17,Current,laban.korpal@outlook.com
CUST1072,Aradhana,Dash,+911386150345,1990-02-04,0.47,Current,aradhana.dash@yahoo.com
CUST1073,Dalbir,Sarna,+913163136203,1963-04-25,0.26,Loan,dalbir.sarna@outlook.com
CUST1074,Chandani,Dixit,9780049412,1993-08-08,0.8,Loan,chandani.dixit@hotmail.com
CUST1075,Ayush,Reddy,+915604502719,1963-01-29,0.9,Credit,ayush.reddy@yahoo.com
CUST1076,Hemal,Kari,+914905796583,2001-07-14,0.68,Credit,hemal.kari@yahoo.com
CUST1077,Karan,Naidu,03532454204,1974-12-15,0.76,Loan,karan.naidu@gmail.com
CUST1078,Priya,Garg,+918482612413,1993-05-02,0.79,Savings,priya.garg@hotmail.com
CUST1079,Caleb,Nagar,5733314545,1973-05-29,0.43,Current,caleb.nagar@outlook.com
CUST1080,Baghyawati,Mohan,+911361930878,1974-08-01,0.81,Current,baghyawati.mohan@yahoo.com
CUST1081,Zansi,Bhardwaj,5954204766,1960-12-02,0.32,Loan,zansi.bhardwaj@gmail.com
CUST1082,Aditya,Naidu,04958433878,1955-12-20,0.98,Credit,aditya.naidu@outlook.com
CUST1083,Devansh,Mahajan,8881373369,1996-06-18,0.09,Credit,devansh.mahajan@yahoo.com
CUST1084,Saksham,Bawa,4016814595,1984-10-25,0.49,Savings,saksham.bawa@yahoo.com
CUST1085,Abhimanyu,Radhakrishnan,07709016304,1960-02-14,0.72,Current,abhimanyu.radhakrishnan@hotmail.com
CUST1086,Utkarsh,Bhatnagar,2382599013,1974-04-28,0.39,Savings,utkarsh.bhatnagar@gmail.com
CUST1087,Quincy,Kamdar,08194019934,1997-07-20,0.05,Credit,quincy.kamdar@hotmail.com
CUST1088,Isaiah,Anand,+912353991550,1989-05-07,0.34,Loan,isaiah.anand@gmail.com
CUST1089,Girik,Gill,08716629196,1999-09-04,0.97,Current,girik.gill@outlook.com
CUST1090,Kashvi,Seshadri,+914852176728,1958-05-16,0.67,Savings,kashvi.seshadri@yahoo.com
CUST1091,Adweta,Dhar,+917513908544,2007-02-01,0.71,Current,adweta.dhar@outlook.com
CUST1092,Aishani,Chaudhry,01679616239,1999-11-17,0.53,Loan,aishani.chaudhry@yahoo.com
CUST1093,Darsh,Deep,0731859085,1963-01-21,0.56,Credit,darsh.deep@hotmail.com
CUST1094,Upkaar,Apte,04616353580,1986-05-19,0.42,Savings,upkaar.apte@outlook.com
CUST1095,Bhavya,Deep,7349903051,1996-06-30,0.17,Credit,bhavya.deep@hotmail.com
CUST1096,Abdul,Modi,+919670579881,1998-07-21,0.12,Credit,abdul.modi@outlook.com
CUST1097,Rachita,Magar,06007465135,1980-09-11,0.01,Savings,rachita.magar@outlook.com
